KPIs,Zip,No_of_Art_Projects, Perc_Unemployment_2010 ,No_Educated_High_School_2010,Per_Capita_Household_Income_2010, Perc_Unemployment_2014 ,No_Educated_High_School_2015,Per_Capita_Household_Income_2015,No_of_Artists_Projects, Perc_Unemployment_2011 , Perc_Unemployment_2012 , Perc_Unemployment_2013 , Perc_Unemployment_2015 , Perc_Unemployment_2016 ,No_Employment_in_Arts_n_Entertainment_2010,No_Employment_in_Arts_n_Entertainment_2011,No_Employment_in_Arts_n_Entertainment_2012,No_Employment_in_Arts_n_Entertainment_2013,No_Employment_in_Arts_n_Entertainment_2014,No_Employment_in_Arts_n_Entertainment_2015,No_Employment_in_Arts_n_Entertainment_2016,No_Educated_High_School_2000,No_Educated_High_School_2011,No_Educated_High_School_2012,No_Educated_High_School_2013,No_Educated_High_School_2014,No_Educated_High_School_2016,No_Unemployed_2010,No_Unemployed_2011,No_Unemployed_2012,No_Unemployed_2013,No_Unemployed_2014,No_Unemployed_2015,No_Unemployed_2016,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Total_Household_Income_2000,Total_Household_Income_2010,Total_Household_Income_2011,Total_Household_Income_2012,Total_Household_Income_2013,Total_Household_Income_2014,Total_Household_Income_2015,Total_Household_Income_2016,Per_Capita_Household_Income_2000,Per_Capita_Household_Income_2011,Per_Capita_Household_Income_2012,Per_Capita_Household_Income_2013,Per_Capita_Household_Income_2014
,91040,1,0.08,3540,31476,0.13,3331,36434,,0.08,0.11,0.11,0.07,0.06,352,356,258,284,285,277,301,3383,3509,2928,3271,3178,3293,885,913,1078,1230,1463,733,653,20827,20152,18927,21246,21192,21423,20889,473665098,631754227,633896071,604884618,709706101,730886437,763294434,780877152,24088,31456,31959,34637,35173
,91303,1,0.08,4199,20067,0.1,3709,23242,,0.08,0.1,0.09,0.07,0.06,311,313,263,267,295,282,297,2341,4168,3696,3753,3536,3797,1110,1142,1387,1334,1393,924,845,24837,25924,25130,25511,25419,25865,26008,342851723,520143307,521272109,514654494,554488782,564227068,596125810,599231135,14793,20108,20480,21954,22419
,91304,3,0.05,7125,27483,0.09,7542,29971,2,0.05,0.08,0.09,0.07,0.06,498,498,282,330,314,296,316,6406,7046,6390,6936,7186,7574,1247,1274,2084,2425,2537,1756,1565,50870,48878,48693,51126,51828,52590,51712,1102164073,1346696806,1347399471,1345991151,1413957907,1486846670,1546272592,1606011360,22947,27567,27642,28384,29184
,91306,4,0.07,6937,23326,0.11,7167,25802,,0.07,0.09,0.11,0.07,0.06,452,455,422,440,432,421,442,5773,6870,6124,6757,6829,7228,1675,1718,2216,2738,2712,1595,1427,44838,43395,43550,46244,45722,46387,45778,772199554,1013788308,1016050591,1034670035,1096516045,1130269819,1182383696,1173348647,17921,23414,23758,24062,25046
,91307,1,0.07,3429,41266,0.1,3126,46118,,0.07,0.09,0.1,0.07,0.06,464,459,339,345,423,408,440,3052,3361,2746,2917,2995,3207,879,899,1093,1239,1304,817,745,24445,24943,23912,25003,24958,25238,25344,760128830,1034046980,1030993644,1089232845,1095011943,1103319971,1148502185,1220554563,31623,41334,45552,44469,44863
,91311,5,0.05,5780,37150,0.11,5346,43399,,0.05,0.08,0.1,0.07,0.06,294,294,258,334,362,341,362,5485,5696,4528,5372,5197,5175,906,927,1484,2035,2264,1347,1166,38206,37166,35276,38401,39101,39074,37465,1042907113,1383591856,1384411234,1405004629,1533769545,1610737836,1657512533,1696401898,28823,37249,39829,40767,42108
,91316,0,0.07,3369,39362,0.11,3407,46482,,0.07,0.08,0.09,0.07,0.06,502,504,511,599,628,594,589,3660,3317,3323,3372,3350,3456,997,1018,1364,1403,1852,1023,909,28125,26261,28373,28904,28798,28337,27894,950483474,1034148127,1035018002,1227598149,1288764285,1287432691,1314806991,1352633923,36198,39413,43266,44667,44793
,91324,1,0.06,3325,28903,0.14,3535,32361,2,0.06,0.1,0.13,0.07,0.06,411,416,367,337,276,268,269,2706,3278,2782,3031,3356,3571,872,893,1545,1901,2027,932,837,27069,27886,27089,27572,27576,28071,27779,605768914,809922476,808859166,811317611,809610172,856235441,893196581,931189713,22890,29006,29950,30028,31687
,91325,1,0.06,4266,29565,0.12,4411,33387,,0.06,0.09,0.11,0.07,0.06,449,453,396,437,486,465,504,3497,4221,3978,3969,4191,4526,1097,1129,1744,2168,2491,1291,1180,38367,36381,37158,39007,38877,39614,39851,811249497,1073360576,1081180095,1105759677,1202642227,1225175493,1282140415,1351334001,24165,29718,29758,32015,32904
,91326,1,0.05,3414,42197,0.08,3566,49417,,0.05,0.08,0.08,0.07,0.06,308,309,363,531,519,488,457,2849,3371,2745,3547,3408,3367,857,884,1282,1483,1462,1147,1005,33922,33400,31598,34566,34668,34981,33802,1033898016,1408374136,1419961333,1455520046,1588339365,1672825551,1724763869,1824859538,36966,42514,46064,46037,48351
